"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories"
"61","學府路","董家炒飯","新北市淡水區學府路203號","02 2622 3198","https://www.google.com/maps/place/%E8%91%A3%E5%AE%B6%E7%82%92%E9%A3%AF/@25.1753057,121.4437623,17z/data=!4m8!3m7!1s0x3442aff8bad5d83b:0x918a456cb7b3cb76!8m2!3d25.1753009!4d121.4463372!9m1!1b1!16s%2Fg%2F11c5zlkysk?hl=zh-TW&entry=ttu","10:30--14:30 16:30--21:30","25.1738837","121.4491297","4","四分或以上"
"62","學府路","董家粥品","新北市淡水區學府路174-1號","02 2629 3358","https://www.google.com/maps/place/%E8%91%A3%E5%AE%B6%E7%B2%A5%E5%93%81/@25.1754002,121.4439486,17z/data=!4m8!3m7!1s0x3442af3008d9aedb:0x57e2686617023ecd!8m2!3d25.1753954!4d121.4465235!9m1!1b1!16s%2Fg%2F11s1tx4g3p?hl=zh-TW&entry=ttu","11:00--14:30  16:00--21:00 禮拜五公休","25.1753954","121.4420174","3.4","三分"
"63","學府路","鍋台銘 鄧公店","新北市淡水區學府路70-1號","02 2628 1771","https://www.google.com/maps/place/%E9%8D%8B%E5%8F%B0%E9%8A%98%E6%99%82%E5%B0%9A%E6%B9%AF%E9%8D%8B+%E6%B7%A1%E5%A4%A7%E5%BA%97/@25.1761329,121.4414809,16z/data=!4m12!1m2!2m1!1z6Y2L5Y-w6YqY5pmC5bCa5rmv6Y2L!3m8!1s0x3442afb0e4f0c08f:0xa848c9abf48800a9!8m2!3d25.1762778!4d121.4468001!9m1!1b1!15sChXpjYvlj7DpipjmmYLlsJrmua_pjYsiA4gBAVobIhnpjYsg5Y-wIOmKmCDmmYLlsJog5rmv6Y2LkgESaG90X3BvdF9yZXN0YXVyYW504AEA!16s%2Fg%2F11j32w9tlm?hl=zh-TW&entry=ttu","10:30--1:00","25.1699358","121.4460209","3.7","三分"
"64","學府路","滔鍋百元鍋物","新北市淡水區學府路186號","02 2626 2489","https://www.google.com/maps/place/%E6%B7%98%E9%8D%8B%E7%99%BE%E5%85%83%E9%8D%8B%E7%89%A9-%E6%B7%A1%E6%B0%B4%E7%B8%BD%E5%BA%97/@25.1758113,121.4439873,17z/data=!4m8!3m7!1s0x3442aff8b38b59e7:0x5cf341e875abcf36!8m2!3d25.1758065!4d121.4465622!9m1!1b1!16s%2Fg%2F11c6zp2ybv?hl=zh-TW&entry=ttu","11:00--3:00","25.1758065","121.4439873","4.7","四分或以上"
"65","學府路","樓下猴子","新北市淡水區學府路174號","02 2626 0160","https://www.google.com/maps/place/%E6%A8%93%E4%B8%8B%E7%8C%B4%E5%AD%90-%E6%B7%A1%E6%B0%B4%E5%BA%97/@25.1754002,121.4439486,17z/data=!4m8!3m7!1s0x3442af6b30f3ec2f:0xf39c6222f0b01802!8m2!3d25.1753954!4d121.4465235!9m1!1b1!16s%2Fg%2F11n04kwl0m?hl=zh-TW&entry=ttu","17:00--1:30 禮拜六公休","25.1753954","121.4439486","3.6","三分"
"66","學府路","呷子園","新北市淡水區學府路189號","02 2620 9722","https://www.google.com/maps/place/%E5%91%B7%E5%AD%90%E5%9C%92/@25.1749315,121.443926,17z/data=!3m1!5s0x3442aff8bd1a34b5:0x3e7d58afe064ce34!4m8!3m7!1s0x3442aff8bb894821:0x133141bc3e0264c!8m2!3d25.1749267!4d121.4465009!9m1!1b1!16s%2Fg%2F1tdj1xrk?hl=zh-TW&entry=ttu","11:20--14:20 17:20--20:50 六日公休","25.1749267","121.443926","4.2","四分或以上"
"67","學府路","淡大手工蒸餃","新北市淡水區學府路211-9號","無","https://www.google.com/maps/place/%E6%89%8B%E5%B7%A5%E8%92%B8%E9%A4%83/@25.1763481,121.4420126,17z/data=!4m8!3m7!1s0x3442afff4a3ad7f5:0x382813bedaf958f6!8m2!3d25.1763433!4d121.4468835!9m1!1b1!16s%2Fg%2F11byxf17yf?hl=zh-TW&entry=ttu","11:30--14:00 17:00--19:30 禮拜日公休","25.1763433","121.4443086","4","四分或以上"
"68","學府路","一級棒碳烤","新北市淡水區學府路192號","02 8631 6661","https://www.google.com/maps/place/%E4%B8%80%E7%B4%9A%E6%A3%92%E7%A2%B3%E7%83%A4/@25.1764855,121.3621855,12z/data=!4m12!1m2!2m1!1z5LiA57Sa5qOS54Kt54Ok!3m8!1s0x3442afff4b4b1311:0x321abdce71e53c2a!8m2!3d25.1760505!4d121.446816!9m1!1b1!15sCg_kuIDntJrmo5Lngq3ng6RaFCIS5LiA57SaIOajkiDngq0g54OkkgEKa2ViYWJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSE0zRkhZbkJSUlJBQuABAA!16s%2Fg%2F11c2qwqfpb?hl=zh-TW&entry=ttu","16:30--12:00","25.1760505","121.3026204","3.8","三分"
"69","學府路","中日和風飯館","新北市淡水區學府路184號","02 2622 0595","https://www.google.com/maps/place/%E4%B8%AD%E6%97%A5%E5%92%8C%E9%A2%A8%E9%A3%AF%E9%A4%A8/@25.1757945,121.4417718,17z/data=!4m8!3m7!1s0x3442aff8a5cf75e7:0xcb44f1d94c5c8b9b!8m2!3d25.1757897!4d121.4466427!9m1!1b1!16s%2Fg%2F1tl_jdqy?hl=zh-TW&entry=ttu","11:00--14:30 17:00--21:00","25.1757897","121.4440678","4","四分或以上"
"70","學府路","銀記桂林米粉","新北市淡水區學府路182號"," 0972 830 998","https://www.google.com/maps/place/%E5%AD%B8%E5%BA%9C%E9%8A%80%E8%A8%98%E6%A1%82%E6%9E%97%E7%B1%B3%E7%B2%89/@25.1757636,121.4440556,17z/data=!4m8!3m7!1s0x3442afd4048a492f:0x76be33a5d9ef618f!8m2!3d25.1757588!4d121.4466305!9m1!1b1!16s%2Fg%2F11j3s88ssm?hl=zh-TW&entry=ttu","11:30--14:00 17:00--20:30 禮拜六公休","25.1757588","121.4440556","4.7","四分或以上"
"71","學府路","丘山雨林","1F, No. 180, 學府路淡水區新北市","02 2623 5222","https://www.google.com/maps/place/%E4%B8%98%E5%B1%B1%E9%9B%A8%E6%9E%97)+%E7%B4%A0%E9%A3%9F/@25.1757418,121.4439574,17z/data=!4m8!3m7!1s0x3442aff8b13e2e63:0x9ab9e2be76332898!8m2!3d25.175737!4d121.4465323!9m1!1b1!16s%2Fg%2F11b72jn8_2?hl=zh-TW&entry=ttu","11:30--14:00 17:30--20:00 禮拜一公休","25.175737","121.4439574","4.7","四分或以上"
"72","學府路","大吉祥香豆富","新北市淡水區學府路171號","02 2621 0719","https://www.google.com/maps/place/%E5%A4%A7%E5%90%89%E7%A5%A5%E9%A6%99%E8%B1%86%E5%AF%8C/@25.1743049,121.4413943,17z/data=!3m1!5s0x3442a5558a1ebcb7:0xbcb5b237ab464311!4m8!3m7!1s0x3442affef015830b:0x95b18debaac7d99a!8m2!3d25.1743001!4d121.4462652!9m1!1b1!16s%2Fg%2F1tj5nf9b?hl=zh-TW&entry=ttu","11:00--20:00","25.1743001","121.4436903","4","四分或以上"
"73","學府路","姊妹中西式早點","新北市淡水區學府路175號","無","https://www.google.com/maps/place/%E5%A7%90%E5%A6%B9%E4%B8%AD%E8%A5%BF%E5%BC%8F%E6%97%A9%E9%BB%9E/@25.1744207,121.4438049,17z/data=!4m8!3m7!1s0x3442aff9023cc5f5:0x77bd38b00cfde6b0!8m2!3d25.1744159!4d121.4463798!9m1!1b1!16s%2Fg%2F1vg6rfgq?hl=zh-TW&entry=ttu","6:00--13:00","25.1744159","121.4438049","4.6","四分或以上"
